(no action),
R,
RR,
RRR,
RRRC,
RRC,
RC,
C,
CR,
CRR,
CRRR,
CRRRR,
CRRRRC,
CRRRC,
CRRC,
CRC,
CC,
,
RRRC/,
RRRC/R,
RRRC/RR,
RRRC/RRR,
RRRC/RRRR,
RRRC/RRRRC,
RRRC/RRRC,
RRRC/RRC,
RRRC/RC,
RRRC/C,
RRRC/CR,
RRRC/CRR,
RRRC/CRRR,
RRRC/CRRRR,
RRRC/CRRRRC,
RRRC/CRRRC,
RRRC/CRRC,
RRRC/CRC,
RRRC/CC,
,
RRC/R,
RRC/RR,
RRC/RRR,
RRC/RRRR,
RRC/RRRRC,
RRC/RRRC,
RRC/RRC,
RRC/RC,
RRC/C,
RRC/CR,
RRC/CRR,
RRC/CRRR,
RRC/CRRRR,
RRC/CRRRRC,
RRC/CRRRC,
RRC/CRRC,
RRC/CRC,
RRC/CC,
,
RC/R,
RC/RR,
RC/RRR,
RC/RRRR,
RC/RRRRC,
RC/RRRC,
RC/RRC,
RC/RC,
RC/C,
RC/CR,
RC/CRR,
RC/CRRR,
RC/CRRRR,
RC/CRRRRC,
RC/CRRRC,
RC/CRRC,
RC/CRC,
RC/CC,
,
CRRRRC/R,
CRRRRC/RR,
CRRRRC/RRR,
CRRRRC/RRRR,
CRRRRC/RRRRC,
CRRRRC/RRRC,
CRRRRC/RRC,
CRRRRC/RC,
CRRRRC/C,
CRRRRC/CR,
CRRRRC/CRR,
CRRRRC/CRRR,
CRRRRC/CRRRR,
CRRRRC/CRRRRC,
CRRRRC/CRRRC,
CRRRRC/CRRC,
CRRRRC/CRC,
CRRRRC/CC,
,
,
CRRRC/R,
CRRRC/RR,
CRRRC/RRR,
CRRRC/RRRR,
CRRRC/RRRRC,
CRRRC/RRRC,
CRRRC/RRC,
CRRRC/RC,
CRRRC/C,
CRRRC/CR,
CRRRC/CRR,
CRRRC/CRRR,
CRRRC/CRRRR,
CRRRC/CRRRRC,
CRRRC/CRRRC,
CRRRC/CRRC,
CRRRC/CRC,
CRRRC/CC,
,
,
CRRC/R,
CRRC/RR,
CRRC/RRR,
CRRC/RRRR,
CRRC/RRRRC,
CRRC/RRRC,
CRRC/RRC,
CRRC/RC,
CRRC/C,
CRRC/CR,
CRRC/CRR,
CRRC/CRRR,
CRRC/CRRRR,
CRRC/CRRRRC,
CRRC/CRRRC,
CRRC/CRRC,
CRRC/CRC,
CRRC/CC,
,
CRC/R,
CRC/RR,
CRC/RRR,
CRC/RRRR,
CRC/RRRRC,
CRC/RRRC,
CRC/RRC,
CRC/RC,
CRC/C,
CRC/CR,
CRC/CRR,
CRC/CRRR,
CRC/CRRRR,
CRC/CRRRRC,
CRC/CRRRC,
CRC/CRRC,
CRC/CRC,
CRC/CC,
,
CC/R,
CC/RR,
CC/RRR,
CC/RRRR,
CC/RRRRC,
CC/RRRC,
CC/RRC,
CC/RC,
CC/C,
CC/CR,
CC/CRR,
CC/CRRR,
CC/CRRRR,
CC/CRRRRC,
CC/CRRRC,
CC/CRRC,
CC/CRC,
CC/CC,
,
TURN,
,
R,RRRC/RRRRC/C
RR,RRRC/RRRRC/CR
RRR,RRRC/RRRRC/CRC
RRRR,RRRC/RRRC/
RRRRC,
RRRC,
RRC,
RC,
C,
CR,
CRR,
CRRR,
CRRRR,
CRRRRC,
CRRRC,
CRRC,
CRC,
CC,
,
,
,
RRRC/RRRRC/,
RRRC/RRRC/,
RRRC/RRC/,
RRRC/RC/,
RRRC/CRRRRC/,
RRRC/CRRRC/,
RRRC/CRRC/,
RRRC/CRC/,
RRRC/CC/,
,
RRC/RRRRC/,
RRC/RRRC/,
RRC/RRC/,
RRC/RC/,
RRC/CRRRRC/,
RRC/CRRRC/,
RRC/CRRC/,
RRC/CRC/,
RRC/CC/,
,
RC/RRRRC/,
RC/RRRC/,
RC/RRC/,
RC/RC/,
RC/CRRRRC/,
RC/CRRRC/,
RC/CRRC/,
RC/CRC/,
RC/CC/,
,
CRRRRC/RRRRC/,
CRRRRC/RRRC/,
CRRRRC/RRC/,
CRRRRC/RC/,
CRRRRC/CRRRRC/,
CRRRRC/CRRRC/,
CRRRRC/CRRC/,
CRRRRC/CRC/,
CRRRRC/CC/,
,
,
CRRRC/RRRRC/,
CRRRC/RRRC/,
CRRRC/RRC/,
CRRRC/RC/,
CRRRC/CRRRRC/,
CRRRC/CRRRC/,
CRRRC/CRRC/,
CRRRC/CRC/,
CRRRC/CC/,
,
CRRC/RRRRC/,
CRRC/RRRC/,
CRRC/RRC/,
CRRC/RC/,
CRRC/CRRRRC/,
CRRC/CRRRC/,
CRRC/CRRC/,
CRRC/CRC/,
CRRC/CC/,
,
CRC/RRRRC/,
CRC/RRRC/,
CRC/RRC/,
CRC/RC/,
CRC/CRRRRC/,
CRC/CRRRC/,
CRC/CRRC/,
CRC/CRC/,
CRC/CC/,
,
CC/RRRRC/,
CC/RRRC/,
CC/RRC/,
CC/RC/,
CC/CRRRRC/,
CC/CRRRC/,
CC/CRRC/,
CC/CRC/,
CC/CC/,
,
,
,
,
,
,
,
,
,
RRRC/RRRRC/CRC/CC/,
